seed,length,foods,steps,alive,reached_target,action_mismatches,multi_successor_cells,visited_cells
441956760,321,318,36082,True,True,0,1428,2404
1752252694,321,318,38935,True,True,0,1382,2373
334282958,321,318,39182,True,True,0,1405,2464
380382956,321,318,37759,True,True,0,1475,2436
657895633,321,318,38749,True,True,0,1429,2415
707269286,321,318,38668,True,True,0,1489,2401
1866556132,321,318,39984,True,True,0,1477,2392
214471313,321,318,39628,True,True,0,1545,2461
183135412,321,318,38812,True,True,0,1444,2460
1970502476,321,318,39839,True,True,0,1594,2459
1214049783,321,318,40223,True,True,0,1442,2444
2128165354,321,318,38863,True,True,0,1524,2423
1332848474,321,318,38019,True,True,0,1602,2469
472628169,321,318,39901,True,True,0,1705,2463
149911827,321,318,39235,True,True,0,1498,2464
2068065976,321,318,38447,True,True,0,1564,2480
1918083743,321,318,34625,True,True,0,1550,2417
2033057949,321,318,38141,True,True,0,1369,2452
918028278,321,318,35677,True,True,0,1366,2412
356165992,321,318,36087,True,True,0,1448,2433
1778452703,321,318,39797,True,True,0,1505,2399
537612532,321,318,39920,True,True,0,1405,2427
515994260,321,318,40135,True,True,0,1526,2425
973691983,321,318,39250,True,True,0,1418,2451
1737064303,321,318,35075,True,True,0,1479,2442
1457958542,321,318,35646,True,True,0,1414,2437
2147319370,321,318,39601,True,True,0,1332,2400
278756685,321,318,38741,True,True,0,1525,2462
311835262,321,318,38297,True,True,0,1390,2456
118640821,321,318,37800,True,True,0,1486,2459
1146614531,321,318,39139,True,True,0,1450,2442
1379550194,321,318,36972,True,True,0,1556,2457
1865482072,321,318,36645,True,True,0,1481,2489
245624704,321,318,37040,True,True,0,1472,2459
237667712,321,318,37374,True,True,0,1540,2466
1295498219,321,318,37223,True,True,0,1478,2460
1676059533,321,318,39445,True,True,0,1467,2463
1772243355,321,318,39353,True,True,0,1455,2463
996089255,321,318,36995,True,True,0,1418,2466
1554632539,321,318,39240,True,True,0,1515,2454
2047267503,321,318,38842,True,True,0,1426,2399
333157945,321,318,41375,True,True,0,1320,2444
1863700878,321,318,39804,True,True,0,1471,2463
437114121,321,318,37458,True,True,0,1419,2457
329909718,321,318,38202,True,True,0,1474,2439
640149210,321,318,39799,True,True,0,1582,2446
1398561181,321,318,37021,True,True,0,1509,2450
579421000,321,318,36993,True,True,0,1443,2405
1409450170,321,318,37376,True,True,0,1339,2433
1384965421,321,318,38461,True,True,0,1524,2458
1293094236,321,318,38128,True,True,0,1506,2468
1192306746,321,318,38019,True,True,0,1485,2467
19679389,321,318,39544,True,True,0,1500,2465
1346515996,321,318,40728,True,True,0,1498,2443
1878706874,321,318,37654,True,True,0,1498,2453
1048278914,321,318,37628,True,True,0,1378,2391
325072135,321,318,37347,True,True,0,1484,2467
1040375667,321,318,38572,True,True,0,1465,2451
1528611597,321,318,40808,True,True,0,1529,2465
723816069,321,318,36901,True,True,0,1425,2404
504814047,321,318,41708,True,True,0,1488,2450
959665210,321,318,37052,True,True,0,1492,2426
1136328923,321,318,39447,True,True,0,1391,2461
937555235,321,318,36963,True,True,0,1466,2459
782083617,321,318,39076,True,True,0,1380,2461
1576818504,321,318,37272,True,True,0,1528,2456
1972986988,321,318,36164,True,True,0,1472,2445
1048786776,321,318,39385,True,True,0,1488,2413
220836444,321,318,37265,True,True,0,1387,2402
2129523074,321,318,40039,True,True,0,1555,2471
1247818794,321,318,36584,True,True,0,1605,2443
1211531746,321,318,39772,True,True,0,1415,2427
956137993,321,318,37494,True,True,0,1466,2456
1208979643,321,318,37577,True,True,0,1388,2401
793529520,321,318,36471,True,True,0,1410,2393
539409653,321,318,35644,True,True,0,1393,2368
1283801224,321,318,39202,True,True,0,1455,2433
2141488876,321,318,37758,True,True,0,1514,2431
648397687,321,318,35839,True,True,0,1486,2433
2037773739,321,318,35432,True,True,0,1418,2459
1551415635,321,318,39323,True,True,0,1400,2425
1819668740,321,318,39484,True,True,0,1304,2430
131477832,321,318,38771,True,True,0,1568,2455
1937106096,321,318,36471,True,True,0,1533,2487
1608794795,321,318,37716,True,True,0,1467,2463
327358774,321,318,38453,True,True,0,1529,2471
345866395,321,318,39113,True,True,0,1590,2453
2032810894,321,318,40347,True,True,0,1486,2427
907549487,321,318,39125,True,True,0,1509,2458
12863920,321,318,38848,True,True,0,1417,2437
497819444,321,318,36557,True,True,0,1473,2435
1000094797,321,318,36779,True,True,0,1458,2461
471314747,321,318,39117,True,True,0,1395,2430
1844938465,321,318,38674,True,True,0,1420,2463
1467572769,321,318,41478,True,True,0,1468,2462
217186198,321,318,34183,True,True,0,1496,2463
307748819,321,318,36696,True,True,0,1586,2462
1462329360,321,318,32825,True,True,0,1535,2425
1252482538,321,318,37639,True,True,0,1560,2468
616429052,321,318,39334,True,True,0,1438,2422
